date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
17/11/24,Jesus Shall Take The Highest Honour,Jesus shall take the highest honour,Ben,451380,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
17/11/24,Knowing You,All I once held dear built my life upon,Ben,1045238,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
17/11/24,And Can It Be,And can it be that I should gain,Ben,25280,public domain,,,,,,,,,,,,,,,,,,,,,
24/11/24,Christ Triumphant Ever Reigning,Christ triumphant ever reigning,Sue,647778,reported 30/11/24,,,,,,,,,,,,,,,,,,,,,
24/11/24,I Choose To Worship,I choose to worship I choose to bow,Sue,7145862,reported 30/11/24,,,,,,,,,,,,,,,,,,,,,
24/11/24,Our God,Water you turned into wine,Sue,5677416,reported 30/11/24,,,,,,,,,,,,,,,,,,,,,
24/11/24,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Sue,7121852,reported 30/11/24,,,,,,,,,,,,,,,,,,,,,
24/11/24,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 30/11/24,,,,,,,,,,,,,,,,,,,,,
1/12/24,Hark the glad sound,Hark the glad sound the saviour comes,Sue,1630038,reported 5/12/24,,,,,,,,,,,,,,,,,,,,,
1/12/24,Lord you were rich,Lord you were rich beyong all splendour,Sue,4755913,reported 5/12/24,,,,,,,,,,,,,,,,,,,,,
1/12/24,O Little Town of Bethlehem,O Little Town of Bethlehem,Sue,1741697,public domain,,,,,,,,,,,,,,,,,,,,,
1/12/24,Hark the herald,Hark the herald angels sing,Sue,27738,public domain,,,,,,,,,,,,,,,,,,,,,
1/12/24,Noel,Love incarnate love divine,Richard,7050419,reported 5/12/24,,,,,,,,,,,,,,,,,,,,,
1/12/24,O Come All Ye Faithful (Adeste Fideles),O come all ye faithful,Richard,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
1/12/24,The Servant King,From heav'n You came helpless babe,Richard,78897,reported 5/12/24,,,,,,,,,,,,,,,,,,,,,
1/12/24,Follow the star,,Richard,Written by Richard,N/A,,,,,,,,,,,,,,,,,,,,,
1/12/24,I stand in awe,When I consider,Richard,7101945,reported 5/12/24,,,,,,,,,,,,,,,,,,,,,
8/12/24,"Immortal, invisible, God only wise","Immortal, invisible, God only wise",Sue,124466,public domain,,,,,,,,,,,,,,,,,,,,,
8/12/24,Angels from the realms of glory,Angels from the realms of glory,Sue,2402828,public domain,,,,,,,,,,,,,,,,,,,,,
8/12/24,Mighty to Save,Everyone needs compassion,Sue,4591782,reported 21/12/24,,,,,,,,,,,,,,,,,,,,,
8/12/24,Forever,Give thanks to the Lord,Sue,3148428,reported 21/12/24,,,,,,,,,,,,,,,,,,,,,
8/12/24,Joy To The World,Joy to the world the Lord is come,Sue,24016,public domain,,,,,,,,,,,,,,,,,,,,,
15/12/24,O Come O Come Emmanuel,O come O come Emmanuel,Ben,31982,public domain,,,,,,,,,,,,,,,,,,,,,
15/12/24,O Little Town of Bethlehem,O Little Town of Bethlehem,Ben,1741697,public domain,,,,,,,,,,,,,,,,,,,,,
15/12/24,Everlasting God,Strength will rise as we wait upon the Lord,Ben,4556538,reported 21/12/24,,,,,,,,,,,,,,,,,,,,,
15/12/24,Hark The Herald Angels Sing (Mendelssohn),Hark the herald angels sing,Ben,27738,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,Come and join the celebration,Come and join the celebration,Ben,By Valerie Collison c 1972,,,,,,,,,,,,,,,,,,,,,,
22/12/24,We three kings,We three Kings of Orient are,Ben,38002,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,Follow the star,Come and follow the star,Richard,N/A,,,,,,,,,,,,,,,,,,,,,,
22/12/24,God rest ye merry gentlemen,God rest ye merry gentlemen,Ben,7162476,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
22/12/24,O Come All Ye Faithful (Adeste Fideles),O come all ye faithful,Sue,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,O Come O Come Emmanuel,O Come O Come Emmanuel,Sue,267890,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,O Little Town of Bethlehem,O Little Town of Bethlehem,Sue,1741697,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,Joy To The World,Joy to the world the Lord is come,Sue,24016,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,Once in Royal David's City,Once in Royal David's City,Sue,197156,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,In the bleak midwinter,In the bleak midwinter,Sue,294736,public domain,,,,,,,,,,,,,,,,,,,,,
22/12/24,Hark The Herald Angels Sing (Mendelssohn),Hark the herald angels sing,Sue,27738,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/24,Follow the star,Come and follow the star,Richard,Written by Richard,N/A,,,,,,,,,,,,,,,,,,,,,
24/12/24,Away In A Manger,Away in a manger,Richard,38583,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/24,Noel,Love incarnate love divine,Richard,7050419,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
24/12/24,The Blessing,The Lord bless you,Richard,7147007,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
25/12/24,Hark The Herald Angels Sing (Mendelssohn),Hark the herald angels sing,Richard,27738,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/24,Noel,Love incarnate love divine,Richard,7050419,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
25/12/24,Joy To The World,Joy to the world the Lord is come,Richard,24016,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/24,O Come All Ye Faithful (Adeste Fideles),O come all ye faithful,Richard,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
29/12/24,Many Years Ago,Many years ago in a stable far away,Ben,"Words by Rev Barry Shipley
(to tune of Jingle Bells)",,,,,,,,,,,,,,,,,,,,,,
29/12/24,The virgin Mary had a baby boy,The virgin Mary had a baby boy,Ben,5743993,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
29/12/24,Here I Am to Worship,Light of the world You stepped down into darkness,Ben,3266032,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
29/12/24,Lord For The Years,Lord for the years,Ben,224957,reported 4/1/25,,,,,,,,,,,,,,,,,,,,,
5/1/25,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 9/1/25,,,,,,,,,,,,,,,,,,,,,
5/1/25,"10,000 Reasons","Bless the Lord, O my soul",Richard,6016351,reported 9/1/25,,,,,,,,,,,,,,,,,,,,,
5/1/25,I stand in awe,When I consider,Richard,7101945,reported 9/1/25,,,,,,,,,,,,,,,,,,,,,
5/1/25,Holy Holy Holy,Holy holy holy Lord God Almighty,Richard,1156,Public domain,,,,,,,,,,,,,,,,,,,,,
5/1/25,And Can It Be,And can it be that I should gain,Richard,25280,public domain,,,,,,,,,,,,,,,,,,,,,
12/1/25,We Shall Stand,We shall stand,Ben,30574,reported 16/1/25,,,,,,,,,,,,,,,,,,,,,
12/1/25,When I Survey The Wondrous Cross,When I survey the wondrous cross,Ben,3296590,public domain,,,,,,,,,,,,,,,,,,,,,
12/1/25,Lord Reign In Me,Over all the earth,Ben,2490706,reported 16/1/25,,,,,,,,,,,,,,,,,,,,,
12/1/25,Knowing You,All I once held dear built my life upon,Ben,1045238,reported 16/1/25,,,,,,,,,,,,,,,,,,,,,
12/1/25,In Christ Alone,In Christ alone my hope is found,Ben,3350395,reported 16/1/25,,,,,,,,,,,,,,,,,,,,,
19/01/25,Indescribable,From the highest of heights to the depths of the sea,Richard,4403076,reported 19/1/25,,,,,,,,,,,,,,,,,,,,,
19/01/25,Ancient of Days,Thou the nations rage,Richard,7121851,reported 19/1/25,,,,,,,,,,,,,,,,,,,,,
19/01/25,How Great Thou Art,O Lord my God when I in awesome wonder,Richard,14181,reported 19/1/25,,,,,,,,,,,,,,,,,,,,,
19/01/25,I stand in awe,When I consider,Richard,7101945,reported 19/1/25,,,,,,,,,,,,,,,,,,,,,
19/01/25,Always Enough (You are God),What you choose to give us,Richard,N/A,reported 26/1/25,,,,,,,,,,,,,,,,,,,,,
26/01/25,Great Things,Come let us worship our King.,Ben,7111321,reported 26/1/25,,,,,,,,,,,,,,,,,,,,,
26/01/25,His Mercy Is More,What love could remember no wrongs we have done,Ben,7065053,reported 26/1/25,,,,,,,,,,,,,,,,,,,,,
26/01/25,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Ben,7121852,reported 26/1/25,,,,,,,,,,,,,,,,,,,,,
26/01/25,Holy Spirit,Holy Spirit living Breath of God,Ben,4779872,reported 26/1/25,,,,,,,,,,,,,,,,,,,,,
26/01/25,Great is thy faithfulness,"Great is thy faithfulness, O God my Father",Ben,18723,reported 26/1/25,,,,,,,,,,,,,,,,,,,,,
2/2/25,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 2/2/25,,,,,,,,,,,,,,,,,,,,,
2/2/25,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 2/2/25,,,,,,,,,,,,,,,,,,,,,
2/2/25,Ancient of Days,Thou the nations rage,Richard,7121851,reported 2/2/25,,,,,,,,,,,,,,,,,,,,,
2/2/25,Jesus Is The Mighty Mighty King,Jesus is the mighty mighty King,Richard,2599982,reported 2/2/25,,,,,,,,,,,,,,,,,,,,,
2/2/25,Great Things,Come let us worship our King.,Richard,7111321,reported 2/2/25,,,,,,,,,,,,,,,,,,,,,
9/2/25,Rejoice the Lord is King,Rejoice the Lord is King,Ben,7125867,reported 22/2/25,,,,,,,,,,,,,,,,,,,,,
9/2/25,We Shall Stand,We shall stand,Ben,30574,reported 22/2/25,,,,,,,,,,,,,,,,,,,,,
9/2/25,As The Deer,As the deer pants for the water,Ben,1431,reported 22/2/25,,,,,,,,,,,,,,,,,,,,,
9/2/25,Rejoice,"Rejoice, come and lift your hands and raise your voice",Ben,7004663,reported 22/2/25,,,,,,,,,,,,,,,,,,,,,
9/2/25,Restore O Lord,Restore O Lord the honour of your name,Ben,40571,reported 22/2/25,,,,,,,,,,,,,,,,,,,,,
16/02/25,Come People Of The Risen King,Come people of the Risen King,Ben,5232617,reported 16/2/25,,,,,,,,,,,,,,,,,,,,,
16/02/25,Salvation's song,Loved before the dawn of time,Ben,5109630,reported 16/2/25,,,,,,,,,,,,,,,,,,,,,
16/02/25,Is He Worthy?,Do you feel the world is broken?,Ben,7108951,reported 16/2/25,,,,,,,,,,,,,,,,,,,,,
16/02/25,Show us Christ,Prepare our hearts O God,Ben,6169253,reported 16/2/25,,,,,,,,,,,,,,,,,,,,,
16/02/25,Love Divine,Love divine all loves excelling,Ben,1038991,reported 16/2/25,,,,,,,,,,,,,,,,,,,,,
23/02/25,Faithful One,Faithful one so unchanging,Richard,465840,reported 6/03/25,,,,,,,,,,,,,,,,,,,,,
23/02/25,How Great Thou Art,O Lord my God when I in awesome wonder,Richard,14181,reported 6/03/25,,,,,,,,,,,,,,,,,,,,,
23/02/25,The Servant King,From heav'n You came helpless babe,Richard,78897,reported 6/03/25,,,,,,,,,,,,,,,,,,,,,
23/02/25,Crown Him With Many Crowns,Crown Him with many crowns,Richard,23938,public domain,,,,,,,,,,,,,,,,,,,,,
2/3/25,And Can It Be,And can it be that I should gain,Ben,25280,public domain,,,,,,,,,,,,,,,,,,,,,
2/3/25,Refiner's Fire,Purify my heart,Ben,426298,reported 2/03/25,,,,,,,,,,,,,,,,,,,,,
2/3/25,He Will Hold Me Fast,When I fear my faith will fail,Ben,7016161,reported 2/03/25,,,,,,,,,,,,,,,,,,,,,
2/3/25,My Lighthouse,In my wrestling and in my doubts,Ben,7002032,reported 2/03/25,,,,,,,,,,,,,,,,,,,,,
2/3/25,In Christ Alone,In Christ alone my hope is found,Ben,3350395,reported 2/03/25,,,,,,,,,,,,,,,,,,,,,
9/3/25,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Sue,30639,public domain,,,,,,,,,,,,,,,,,,,,,
9/3/25,Be The Centre,"Jesus, be the Centre",Sue,2650429,reported 13/03/25,,,,,,,,,,,,,,,,,,,,,
9/3/25,Love Incarnate,With a prayer you fed the hungry,Sue,3709829,reported 13/03/25,,,,,,,,,,,,,,,,,,,,,
9/3/25,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Sue,7121852,reported 13/03/25,,,,,,,,,,,,,,,,,,,,,
9/3/25,O Church Arise,"O Church arise, and put your armour on;",Sue,4611992,reported 13/03/25,,,,,,,,,,,,,,,,,,,,,
16/03/25,Tell Out My Soul,Tell out my soul the greatness of the Lord,Richard,2402653,reported 16/03/25,,,,,,,,,,,,,,,,,,,,,
16/03/25,"10,000 Reasons","Bless the Lord, O my soul",Richard,6016351,reported 16/03/25,,,,,,,,,,,,,,,,,,,,,
16/03/25,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 16/03/25,,,,,,,,,,,,,,,,,,,,,
16/03/25,Ancient of Days,Thou the nations rage,Richard,7121851,reported 16/03/25,,,,,,,,,,,,,,,,,,,,,
16/03/25,Speak O Lord,Speak O Lord as we come to You,Richard,4615235,reported 16/03/25,,,,,,,,,,,,,,,,,,,,,
23/03/25,All Creatures Of Our God And King,All creatures of our God and King,Ben,2846264,public domain,,,,,,,,,,,,,,,,,,,,,
23/03/25,Great Things,Come let us worship our King.,Ben,7111321,reported 23/03/25,,,,,,,,,,,,,,,,,,,,,
23/03/25,Hope of the Nations,Jesus hope of the nations,Ben,3540703,reported 23/03/25,,,,,,,,,,,,,,,,,,,,,
23/03/25,How Deep The Father's Love For Us,How deep the Father's love for us,Ben,1558110,reported 23/03/25,,,,,,,,,,,,,,,,,,,,,
23/03/25,I Cannot Tell,I cannot tell why He whom angels worship,Ben,110119,reported 23/03/25,,,,,,,,,,,,,,,,,,,,,
30/03/25,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
30/03/25,All Heaven Declares,All heaven declares,Sue,120556,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
30/03/25,King Of Kings Majesty,King of Kings majesty,Sue,1581778,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
30/03/25,Before The Throne Of God,Before the throne of God above,Sue,990391,public domain,,,,,,,,,,,,,,,,,,,,,
30/03/25,Lord Of The Church,"Lord of the church, we pray for our renewing:",Sue,4524302,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
6/4/25,Amazing Grace (my chains are gone),Amazing grace how sweet the sound,Richard,4768151,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
6/4/25,This is Amazing Grace,Who breaks the power of sin and darkness,Richard,6333821,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
6/4/25,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
6/4/25,Always Enough (You are God),"You are good, you are gracious",Richard,By Richard and Jo Heywood,,,,,,,,,,,,,,,,,,,,,,
6/4/25,Behold our God,Who has held the oceans in His hands?,Richard,5937510,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
6/4/25,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,,,,,,,,,,,,,,,,,,,,,,
13/04/25,Hosanna (Praise Is Rising),Praise is rising,Ben,4662491,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
13/04/25,There Is A Redeemer,There is a Redeemer Jesus God's own Son,Ben,11483,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
13/04/25,The Servant King,From heav'n You came helpless babe,Ben,78897,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
13/04/25,When I Survey The Wondrous Cross,When I survey the wondrous cross,Ben,3296590,public domain,,,,,,,,,,,,,,,,,,,,,
13/04/25,Ride On Ride On In Majesty,Ride On Ride On In Majesty,Ben,2725907,public domain,,,,,,,,,,,,,,,,,,,,,
20/04/25,Jesus Christ Is Risen Today,Jesus Christ is risen today,Sue,4958088,public domain,,,,,,,,,,,,,,,,,,,,,
20/04/25,The Power Of The Cross,Oh to see the dawn of the darkest day,Sue,4490766,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
20/04/25,He has risen,He has risen,Sue,1045252,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
20/04/25,Saviour of the World,"God so loved, that He gave His son",Sue,5742169,reported 24/04/25,,,,,,,,,,,,,,,,,,,,,
20/04/25,Thine be the glory,Thine be the glory risen conquering son,Sue,21837,public domain,,,,,,,,,,,,,,,,,,,,,
27/04/25,Great In Power,Praise Him you heavens,Ben,2582339,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
27/04/25,Waymaker,You are here moving in our midst,Ben,7115744,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
27/04/25,I will offer up my life,I will offer up my life in spirit and truth,Ben,1083764,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
27/04/25,At The Name Of Jesus (Camberwell),At the name of Jesus,Ben,38947,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
27/04/25,Once again,Jesus Christ I think upon your sacrifice,Ben,1564362,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
4/5/25,All Creatures Of Our God And King,All creatures of our God and King,Richard,2846264,public domain,,,,,,,,,,,,,,,,,,,,,
4/5/25,His Mercy Is More,What love could remember no wrongs we have done,Richard,7065053,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
4/5/25,Build My Life,Worthy of every song we could ever sing,Richard,7070345,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
4/5/25,Christ Our Hope In Life And Death,Christ our hope in life and death,Richard,7147502,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
4/5/25,Love Divine,Love divine all loves excelling,Richard,1038991,reported 7/5/25,,,,,,,,,,,,,,,,,,,,,
11/5/25,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Ben,43073,public domain,,,,,,,,,,,,,,,,,,,,,
11/5/25,Only By Grace,Only by grace can we enter,Ben,190579,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
11/5/25,Show us Christ,Prepare our hearts O God,Ben,6169253,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
11/5/25,I will offer up my life,I will offer up my life in spirit and truth,Ben,1083764,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
11/5/25,O Church Arise,"O Church arise, and put your armour on;",Ben,4611992,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
18/05/25,To God Be The Glory,To God be the glory great things He has done,Sue,23426,public domain,,,,,,,,,,,,,,,,,,,,,
18/05/25,Hope of the Nations,Jesus hope of the nations,Sue,3540703,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
18/05/25,By Faith,By faith we see the hand of God,Sue,5469291,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
18/05/25,Living Hope,How great the chasm that lay between us,Sue,7106807,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
18/05/25,Christ Our Hope In Life And Death,Christ our hope in life and death,Sue,7147502,reported 22/5/25,,,,,,,,,,,,,,,,,,,,,
25/05/25,Lord I Lift Your Name On High,Lord I lift Your name on high,Richard,117947,reported 31/5/25,,,,,,,,,,,,,,,,,,,,,
25/05/25,Ancient of Days,Every tongue in heaven and earth,Richard,798108,reported 31/5/25,,,,,,,,,,,,,,,,,,,,,
25/05/25,Jesus at the centre,Jesus be the centre of it all,Richard,6115180,reported 31/5/25,,,,,,,,,,,,,,,,,,,,,
25/05/25,I stand in awe,When I consider,Richard,7101945,reported 31/5/25,,,,,,,,,,,,,,,,,,,,,
25/05/25,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 31/5/25,,,,,,,,,,,,,,,,,,,,,
1/6/25,In Christ Alone,In Christ alone my hope is found,Sue,3350395,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
1/6/25,King of the Ages,King of the ages,Sue,3707663,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
1/6/25,Beautiful Saviour,All my days I will sing this song of gladness,Sue,2492216,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
1/6/25,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Sue,4930752,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
1/6/25,Hymn of heaven,How I long to breathe the air of heaven,Sue,7168994,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
8/6/25,Build Your Kingdom Here,Come set Your rule and reign,Ben,6186078,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
8/6/25,In Christ Alone,In Christ alone my hope is found,Ben,3350395,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
8/6/25,Holy Spirit,Holy Spirit living Breath of God,Ben,4779872,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
8/6/25,Crown Him With Many Crowns,Crown Him with many crowns,Ben,23938,public domain,,,,,,,,,,,,,,,,,,,,,
8/6/25,Christus Victor,Now to the Lamb upon the throne,Ben,7245980,reported 9/6/25,,,,,,,,,,,,,,,,,,,,,
15/06/25,Holy Holy Holy,Holy holy holy Lord God Almighty,Sue,1156,public domain,,,,,,,,,,,,,,,,,,,,,
15/06/25,Hymn of heaven,How I long to breathe the air of heaven,Sue,7168994,reported 19/6/25,,,,,,,,,,,,,,,,,,,,,
15/06/25,"Immortal, invisible, God only wise","Immortal, invisible, God only wise",Sue,124466,public domain,,,,,,,,,,,,,,,,,,,,,
15/06/25,Rejoice,"Rejoice, come and lift your hands and raise your voice",Sue,7004663,reported 19/6/25,,,,,,,,,,,,,,,,,,,,,
15/06/25,And Can It Be,And can it be that I should gain,Sue,25280,public domain,,,,,,,,,,,,,,,,,,,,,
22/06/25,Tell Out My Soul,Tell out my soul the greatness of the Lord,Ben,2402653,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
22/06/25,Ancient of Days,Every tongue in heaven and earth,Ben,798108,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
22/06/25,Every Promise,From the breaking of the dawn,Ben,4642105,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
22/06/25,Before The Throne Of God,Before the throne of God above,Ben,990391,public domain,,,,,,,,,,,,,,,,,,,,,
22/06/25,Christus Victor,Now to the Lamb upon the throne,Ben,7245980,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
29/06/25,"10,000 Reasons","Bless the Lord, O my soul",Richard,6016351,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
29/06/25,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
29/06/25,Christus Victor,Now to the Lamb upon the throne,Richard,7245980,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
29/06/25,King Of Kings Majesty,King of Kings majesty,Richard,1581778,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
29/06/25,How Great Thou Art,O Lord my God when I in awesome wonder,Richard,14181,reported 3/7/25,,,,,,,,,,,,,,,,,,,,,
6/7/25,Amazing Grace (my chains are gone),Amazing grace how sweet the sound,Richard,4768151,reported 10/7/25,,,,,,,,,,,,,,,,,,,,,
6/7/25,Holy Holy Holy,Holy holy holy Lord God Almighty,Richard,1156,public domain,,,,,,,,,,,,,,,,,,,,,
6/7/25,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 10/7/25,,,,,,,,,,,,,,,,,,,,,
6/7/25,Living Hope,How great the chasm that lay between us,Richard,7106807,reported 10/7/25,,,,,,,,,,,,,,,,,,,,,
6/7/25,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 10/7/25,,,,,,,,,,,,,,,,,,,,,
6/7/25,You need not fear,When you're lost and afraid,Richard,5345896,reported 10/7/25,,,,,,,,,,,,,,,,,,,,,
13/07/25,Come People Of The Risen King,Come people of the Risen King,Sue,5232617,reported 17/7/25,,,,,,,,,,,,,,,,,,,,,
13/07/25,Spirit Song,Oh let the Son of God enfold you,Sue,27824,reported 17/7/25,,,,,,,,,,,,,,,,,,,,,
13/07/25,Holy Spirit,Holy Spirit living Breath of God,Sue,4779872,reported 17/7/25,,,,,,,,,,,,,,,,,,,,,
13/07/25,Apostle's Creed,I believe in God the Father,Sue,4001650,reported 17/7/25,,,,,,,,,,,,,,,,,,,,,
13/07/25,Across The Lands,You're the Word of God the Father,Sue,3709898,reported 17/7/25,,,,,,,,,,,,,,,,,,,,,
20/07/25,Blessed be the name,Blessed be your name,Richard,3798438,reported 24/7/25,,,,,,,,,,,,,,,,,,,,,
20/07/25,Psalm 23,The lord's my Shepherd I'll not want,Richard,1585970,reported 24/7/25,,,,,,,,,,,,,,,,,,,,,
20/07/25,Ancient of Days,Every tongue in heaven and earth,Richard,798108,reported 24/7/25,,,,,,,,,,,,,,,,,,,,,
20/07/25,Jesus at the centre,Jesus be the centre of it all,Richard,6115180,reported 24/7/25,,,,,,,,,,,,,,,,,,,,,
20/07/25,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Richard,30639,public domain,,,,,,,,,,,,,,,,,,,,,
20/07/25,Our God is a Great Big God,Our God is a great big God,Richard,3373437,reported 24/7/25,,,,,,,,,,,,,,,,,,,,,
27/07/25,His Mercy Is More,What love could remember no wrongs we have done,Ben,7065053,reported 31/7/25,,,,,,,,,,,,,,,,,,,,,
27/07/25,Restore O Lord,Restore O Lord the honour of your name,Ben,40571,reported 31/7/25,,,,,,,,,,,,,,,,,,,,,
27/07/25,We Shall Stand,We shall stand,Ben,30574,reported 31/7/25,,,,,,,,,,,,,,,,,,,,,
27/07/25,What A Faithful God,Lord I come before Your throne of grace,Ben,605095,reported 31/7/25,,,,,,,,,,,,,,,,,,,,,
27/07/25,Guide Me O Thy Great Redeemer,Guide me O Thou great Redeemer,Ben,1448,Public domain,,,,,,,,,,,,,,,,,,,,,
3/8/25,Shout to the Lord,My Jesus my Saviour,Richard,1406918,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
3/8/25,Our God is a Great Big God,Our God is a great big God,Richard,3373437,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
3/8/25,What does it mean?,"God loves me, God loves you",Richard,Richard Heywood music,,,,,,,,,,,,,,,,,,,,,,
3/8/25,Behold our God,Who has held the oceans in His hands?,Richard,5937510,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
3/8/25,Love Divine,Love divine all loves excelling,Richard,1038991,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
10/8/25,Everlasting God,Strength will rise as we wait upon the Lord,Ben,4556538,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
10/8/25,How Deep The Father's Love For Us,How deep the Father's love for us,Ben,1558110,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
10/8/25,What does it mean?,"God loves me, God loves you",Ben,Richard Heywood music,,,,,,,,,,,,,,,,,,,,,,
10/8/25,Christ Our Hope In Life And Death,Christ our hope in life and death,Ben,7147502,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
10/8/25,Great is thy faithfulness,"Great is thy faithfulness, O God my Father",Ben,18723,reported 14/8/25,,,,,,,,,,,,,,,,,,,,,
17/08/25,Rejoice,"Rejoice, come and lift your hands and raise your voice",Sue,7004663,reported 4/9/25,,,,,,,,,,,,,,,,,,,,,
17/08/25,Saviour of the World,"God so loved, that He gave His son",Sue,5742169,reported 4/9/25,,,,,,,,,,,,,,,,,,,,,
17/08/25,There Is A Higher Throne,There is a higher throne,Sue,3994672,reported 4/9/25,,,,,,,,,,,,,,,,,,,,,
17/08/25,Amazing Love,Amazing love laying your down your glory,Sue,4718675,reported 4/9/25,,,,,,,,,,,,,,,,,,,,,
17/08/25,This is Amazing Grace,Who breaks the power of sin and darkness,Sue,6333821,reported 4/9/25,,,,,,,,,,,,,,,,,,,,,
