date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
20/03/22,Majesty,Here I am,Mary,4219071,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
27/03/22,As The Deer,As the deer pants for the water,Sue,1431,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
27/03/22,Here I Am to Worship,Light of the world You stepped down into darkness,Sue,3266032,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
27/03/22,King of the Ages,King of the ages,Sue,3707663,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
27/03/22,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty, the King of creation",Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
27/03/22,The Servant King,From heav'n You came helpless babe,Sue,78897,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
3/4/22,Hallelujah,There was a man who walked on earth,Chris,"Words by Rhys Owens, Music by Leonard Cohen, 5516144",,,,,,,,,,,,,,,,,,,,,,
3/4/22,My Lighthouse,In my wrestling and in my doubts,Chris,7002032,reported 12/4/22,,,,,,,,,,,,,,,,,,,,,
3/4/22,Our God,Water you turned into wine,Chris,5677416,reported 12/4/22,,,,,,,,,,,,,,,,,,,,,
10/4/22,Christ Triumphant Ever Reigning,Christ triumphant ever reigning,Sue,647778,reported 12/4/22,,,,,,,,,,,,,,,,,,,,,
10/4/22,Hosanna (Praise Is Rising),Praise is rising,Sue,4662491,reported 12/4/22,,,,,,,,,,,,,,,,,,,,,
10/4/22,King Of Kings Majesty,King of kings majesty,Sue,1581778,reported 12/4/22,,,,,,,,,,,,,,,,,,,,,
10/4/22,Meekness and Majesty,Meekness and Majesty,Sue,1400,reported 12/4/22,,,,,,,,,,,,,,,,,,,,,
10/4/22,My Song Is Love Unknown,My song is love unknown,Sue,2399704,public domain,,,,,,,,,,,,,,,,,,,,,
15/04/22,Dear Lord And Father Of Mankind,Dear Lord and Father of mankind,Sue,4753678,public domain,,,,,,,,,,,,,,,,,,,,,
15/04/22,The Head That Once Was Crowned With Thorns,The head that once was crown'd with thorns,Sue,2688965,public domain,,,,,,,,,,,,,,,,,,,,,
15/04/22,The Power Of The Cross,Oh to see the dawn of the darkest day,Sue,4490766,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
15/04/22,When I Survey The Wondrous Cross,When I survey the wondrous cross,Sue,3296590,public domain,,,,,,,,,,,,,,,,,,,,,
17/04/22,Everlasting God,Strength will rise as we wait upon the Lord,Mary,4556538,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
17/04/22,Led Like A Lamb,Led like a lamb to the slaughter,Mary,202106,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
17/04/22,Lift Up Your Voices,"Come on, come in, everybody",Mary,"Words and Music by Awesome Cutlery, https://www.awesomecutlery.com/ 
Copyright © 2019 Dan Adams & Gareth Loh",,,,,,,,,,,,,,,,,,,,,,
17/04/22,O Praise The Name,I cast my mind to Calvary,Mary,7037787,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
17/04/22,Thine Be The Glory (Maccabaeus),Thine be the glory,Mary,4473013,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
24/04/22,Crown Him With Many Crowns,Crown Him with many crowns,Sue,23938,public domain,,,,,,,,,,,,,,,,,,,,,
24/04/22,Glory In The Highest,Glory in the highest,Sue,2148388,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
24/04/22,Living Hope,How great the chasm that lay between us,Sue,7106807,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
24/04/22,Lord I Lift Your Name On High,Lord I lift Your name on high,Sue,117947,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
